Repr_Calle;species;longitude;latitude
2;;15.2347493400;61.5212833991
2;;15.0317920300;61.7648583989
2;;15.1786354700;61.7565678645
2;;16.4907699100;61.8798061679
2;;16.5949044600;61.9367033406
2;;16.6630593600;61.9813299475
2;;16.6241697900;62.0137123249
2;;17.1753431000;62.0490587578
1;Margaritifera1;20.5689551700;66.3278863499
1;Margaritifera1;14.8328971400;62.2172535122
1;Margaritifera1;14.6288049100;62.3448598874
1;Margaritifera1;15.0712388300;57.7942232765
1;Margaritifera1;16.5620064500;61.4391504601
1;Margaritifera1;19.8087398500;65.8953057099
1;Margaritifera1;18.1923094700;63.7219311675
1;Margaritifera1;15.3357078700;62.5942151095
1;Margaritifera1;17.2996134100;63.1003183993
1;Margaritifera1;14.8714121000;63.8286341994
1;Margaritifera1;14.7662294400;62.1549957673
1;Margaritifera1;19.8129691100;66.0805426877
1;Margaritifera1;16.9396765200;63.1110874390
1;Margaritifera1;16.2171448200;62.4737200852
1;Margaritifera1;12.4778778400;59.7567572318
1;Margaritifera1;15.9033358500;62.6622399410
1;Margaritifera1;15.8069829400;62.7536663762
1;Margaritifera1;16.2943694800;63.1496472464
1;Margaritifera1;16.0438146200;65.2616885498
1;Margaritifera1;19.7624008500;65.8238786223
1;Margaritifera1;16.6623009700;60.8836277366
1;Margaritifera1;15.7272318700;62.0103003071
1;Margaritifera1;17.9169184000;63.0854069355
1;Margaritifera1;19.7469739100;65.8521988463
1;Margaritifera1;16.2098951400;63.6490525864
1;Margaritifera1;15.8745087900;61.2985447864
1;Margaritifera1;20.1977683500;66.6683961921
1;Margaritifera1;16.8234052600;63.8437954252
1;Margaritifera1;18.1376039200;63.0347495441
1;Margaritifera1;14.9093583000;62.2154843961
1;Margaritifera1;14.5596800600;59.5915692473
1;Margaritifera1;16.9621372600;62.5826778618
1;Margaritifera1;12.4649810700;59.6428345504
1;Margaritifera1;15.4020720900;62.3851761111
1;Margaritifera1;16.4530008000;62.4646858795
1;Margaritifera1;16.6279263800;62.5784180065
1;Margaritifera1;15.1764735600;63.7556315223
1;Margaritifera1;15.5784116100;64.4561091108
1;Margaritifera1;15.0117285800;59.5020158363
1;Margaritifera1;14.5236262700;59.5849326377
1;Margaritifera1;17.4689570400;62.1647469996
1;Margaritifera1;16.8115402700;62.4202942977
1;Margaritifera1;15.5279136000;62.5573770301
1;Margaritifera1;18.2493119700;63.0816824702
1;Margaritifera1;16.2781871500;62.6654913667
1;Margaritifera1;15.5784116100;64.4561091108
1;Margaritifera1;16.0528869300;65.2297426014
1;Margaritifera1;20.6022106000;66.5696281466
1;Margaritifera1;16.2152886400;60.8766632499
1;Margaritifera1;15.6164015900;62.6586154361
1;Margaritifera1;16.2176510300;63.1536561901
1;Margaritifera1;16.1977465900;63.6918872054
1;Margaritifera1;20.8704773400;65.7357130210
1;Margaritifera1;19.0391077800;65.7105487053
1;Margaritifera1;15.8020126300;57.2009573498
1;Margaritifera1;17.1337529000;62.7309197387
1;Margaritifera1;20.4711460900;66.6315648519
1;Margaritifera1;18.5471486900;64.9881645260
1;Margaritifera1;15.5691618100;62.3605369820
1;Margaritifera1;15.7960687700;62.6115546760
1;Margaritifera1;15.4207349700;64.5817805750
1;Margaritifera1;14.6131297200;64.3669922652
1;Margaritifera1;17.9323870200;64.1757962983
1;Margaritifera1;17.6745531900;64.1938187045
1;Margaritifera1;14.5792831600;59.3973227845
1;Margaritifera1;14.9063111300;59.4196450897
1;Margaritifera1;14.5054908700;60.5754282876
1;Margaritifera1;16.9416857800;62.2766277666
1;Margaritifera1;15.1351292500;62.5705060958
1;Margaritifera1;16.8959216200;62.5772787409
1;Margaritifera1;15.1189453800;59.5519445283
1;Margaritifera1;16.1896986400;61.1321000085
1;Margaritifera1;18.8857728300;64.8268621834
1;Margaritifera1;13.2776034100;59.9527600679
1;Margaritifera1;15.3713330900;61.9456208520
1;Margaritifera1;16.7173105000;62.6018867281
1;Margaritifera1;17.7863845100;62.6896813057
1;Margaritifera1;16.5998304100;62.8087508592
1;Margaritifera1;18.0307875500;63.0340875432
1;Margaritifera1;16.5190049400;63.4361508397
1;Margaritifera1;17.3267324200;65.5163674514
1;Margaritifera1;20.5569136600;66.6113209646
1;Margaritifera1;13.5662422100;57.8315753772
1;Margaritifera1;19.0551873700;64.7864250345
1;Margaritifera1;15.8431560700;64.9027479313
1;Margaritifera1;20.7045686600;67.0714777184
1;Margaritifera1;14.7217524000;59.6513164931
1;Margaritifera1;15.1623627600;60.4752803691
1;Margaritifera1;16.8403976400;61.6118284410
1;Margaritifera1;16.8296130300;62.3201252234
1;Margaritifera1;14.1989522700;59.6834608646
1;Margaritifera1;16.8933520800;61.3595686563
1;Margaritifera1;17.8620529400;64.8270105145
1;Margaritifera1;16.2082156100;65.0791776022
1;Margaritifera1;22.0883069400;66.0549942142
1;Margaritifera1;23.5927579900;66.5924458923
1;Margaritifera1;14.9067989300;59.9588043172
1;Margaritifera1;20.2990340500;64.4413300969
1;Margaritifera1;16.1173456200;64.8186964519
1;Margaritifera1;16.2541378200;65.1802962414
1;Margaritifera1;21.1127208900;65.4974073884
1;Margaritifera1;13.2887907000;60.9411788503
1;Margaritifera1;14.7008962700;62.5016664208
1;Margaritifera1;17.1024340300;65.4710994905
1;Margaritifera1;15.6172955800;62.6574984765
1;Margaritifera1;14.5125493500;62.9152458962
1;Margaritifera1;20.3875370300;65.2386857052
1;Margaritifera1;18.8193479400;63.9425340612
1;Margaritifera1;17.5472656000;65.5650031610
1;Margaritifera1;14.8514846300;59.4578402788
1;Margaritifera1;16.0457903400;65.2715635731
1;Margaritifera1;19.8512071000;66.0645315197
1;Margaritifera1;20.4983045500;66.3895945517
1;Margaritifera1;21.7984211300;67.3702994520
1;Margaritifera1;12.9109745900;56.2641293043
1;Margaritifera1;16.5096238400;60.8375206849
1;Margaritifera1;15.8153680200;61.7575115482
1;Margaritifera1;14.4798958000;64.4064868143
1;Margaritifera1;19.9756770900;66.5333319781
1;Margaritifera1;14.9846462200;62.4992032469
1;Margaritifera1;14.8746847200;63.9198058936
1;Margaritifera1;20.7518597100;65.5198894327
1;Margaritifera1;15.0144378100;59.4763508231
1;Margaritifera1;16.6974359300;61.4663629241
1;Margaritifera1;16.0806238200;62.6300343179
1;Margaritifera1;16.3223508700;65.1432312151
1;Margaritifera1;12.6606049400;56.9872087240
1;Margaritifera1;15.5208428900;59.9192244819
1;Margaritifera1;14.8118275000;60.5629133146
1;Margaritifera1;12.3391344000;59.9504880101
1;Margaritifera1;18.7313850200;64.4636749587
1;Margaritifera1;17.2904138700;65.4478788551
1;Margaritifera1;19.2298386200;65.5742802520
1;Margaritifera1;17.4804876400;65.7439271294
1;Margaritifera1;20.1021073600;66.5778392491
1;Margaritifera1;17.5777509500;62.9630054156
1;Margaritifera1;16.3177456100;65.1527035695
1;Margaritifera1;16.4296843500;60.7518220160
1;Margaritifera1;15.5346382900;64.5679516217
1;Margaritifera1;21.5243124700;66.1451027432
1;Margaritifera1;15.3650684300;57.4929789568
