"Nummer";"Län (lokal)";"Art";"Datum";"Vatten";"Sweref99 N (Vatten)";"Sweref99 E (Vatten)";"Lokal";"sweref99N";"sweref99E";"Metodik";"Förekomst"
1966;"Blekinge län";"Signalkräfta";"2014-09-11";"ÖSTRA ORLUNDSÅN";6222773;479704;"Östra orlundsån, nedre skärpinge";6225519;479522;"Elfiske";"Säker"
1967;"Blekinge län";"Signalkräfta";"2013-08-07";"ÖSTRA ORLUNDSÅN";6222773;479704;"Östra orlundsån, nedre skärpinge";6225519;479522;"Elfiske";"Säker"
1968;"Blekinge län";"Signalkräfta";"2009-08-26";"ÖSTRA ORLUNDSÅN";6222773;479704;"Östra orlundsån, nedre skärpinge";6225519;479522;"Elfiske";"Säker"
1969;"Blekinge län";"Signalkräfta";"2008-09-04";"ÖSTRA ORLUNDSÅN";6222773;479704;"Östra orlundsån, nedre skärpinge";6225519;479522;"Elfiske";"Säker"
1970;"Blekinge län";"Signalkräfta";"2006-08-29";"ÖSTRA ORLUNDSÅN";6222773;479704;"Östra orlundsån, nedre skärpinge";6225519;479522;"Elfiske";"Säker"
1971;"Blekinge län";"Signalkräfta";"2015-08-14";"ÖSTRA ORLUNDSÅN";6222773;479704;"Östra orlundsån, nedre skärpinge";6225519;479522;"Elfiske";"Säker"
1972;"Blekinge län";"Signalkräfta";"2008-09-04";"ÖSTRA ORLUNDSÅN";6222773;479704;"Östra orlundsån, pukavik e22";6222810;479504;"Elfiske";"Säker"
1973;"Blekinge län";"Signalkräfta";"2007-09-12";"ÖSTRA ORLUNDSÅN";6222773;479704;"Östra orlundsån, pukavik e22";6222810;479504;"Elfiske";"Säker"
1974;"Blekinge län";"Signalkräfta";"2006-08-29";"ÖSTRA ORLUNDSÅN";6222773;479704;"Östra orlundsån, pukavik e22";6222810;479504;"Elfiske";"Säker"
1975;"Blekinge län";"Signalkräfta";"2002-08-02";"ÖSTRA ORLUNDSÅN";6222773;479704;"Östra orlundsån, pukavik e22";6222810;479504;"Elfiske";"Säker"
1976;"Blekinge län";"Signalkräfta";"2014-09-11";"ÖSTRA ORLUNDSÅN";6222773;479704;"Östra orlundsån, pukavik e22";6222810;479504;"Elfiske";"Säker"
1977;"Blekinge län";"Signalkräfta";"2011-09-09";"ÖSTRA ORLUNDSÅN";6222773;479704;"Östra orlundsån, snärjeskogen";6232795;476868;"Elfiske";"Säker"
1978;"Blekinge län";"Signalkräfta";"2006-08-17";"ÖSTRA ORLUNDSÅN";6222773;479704;"Östra orlundsån, bokskogen";6233124;476784;"Elfiske";"Säker"
2111;"Blekinge län";"Signalkräfta";"2015-08-13";"BRÄKNEÅN";6225008;507648;"Bräkneån, nedstr strångamåla";6237186;506076;"Elfiske";"Säker"
2112;"Blekinge län";"Signalkräfta";"2013-08-16";"BRÄKNEÅN";6225008;507648;"Bräkneån, bygdegården";6238105;505165;"Elfiske";"Säker"
2113;"Blekinge län";"Signalkräfta";"2015-08-13";"BRÄKNEÅN";6225008;507648;"Bräkneån, bygdegården";6238105;505165;"Elfiske";"Säker"
2005;"Blekinge län";"Signalkräfta";"2009-09-11";"MIEÅN";6224808;491396;"Mieån, södra hoka";6234683;490361;"Elfiske";"Säker"
2003;"Blekinge län";"Signalkräfta";"2015-08-14";"MIEÅN";6224808;491396;"Mieån, ned ringamålavägen";6242632;492272;"Elfiske";"Säker"
5323;"Blekinge län";"Signalkräfta";"1992-01-01";"BRÄKNEÅN";6225008;507648;"Dammar björstorp 1:";6225008;507648;"Historik";"Finns troligen"
5343;"Blekinge län";"Signalkräfta";"1992-01-01";"VITAVATTEN";6234498;474569;"Viltvatten rösjö";6234498;474569;"Historik";"Finns troligen"
5365;"Blekinge län";"Signalkräfta";"2001-01-01";"BJÖRKEGÖLEN";6233996;542751;"Björkegölen";6233996;542751;"Uppskattning";"Finns troligen"
5366;"Blekinge län";"Signalkräfta";"1992-01-01";"BJÖRKEGÖLEN";6233996;542751;"Björkegölen";6233996;542751;"Uppgift saknas";"Uppgift saknas"
8455;"Blekinge län";"Signalkräfta";"1998-09-04";"ÖSTRA ORLUNDSÅN";6222773;479704;"Nedre skärpinge";6225519;479522;"Elfiske";"Säker"
8456;"Blekinge län";"Signalkräfta";"2004-08-24";"ÖSTRA ORLUNDSÅN";6222773;479704;"Nedre skärpinge";6225519;479522;"Elfiske";"Säker"
